buy_price,demand,sell_price,tick,sun,buy_price_forecast_1,sell_price_forecast_1,demand_forecast_1,buy_price_forecast_2,sell_price_forecast_2,demand_forecast_2,buy_price_forecast_3,sell_price_forecast_3,demand_forecast_3,buy_price_forecast_5,sell_price_forecast_5,demand_forecast_5,buy_price_forecast_8,sell_price_forecast_8,demand_forecast_8,buy_price_forecast_12,sell_price_forecast_12,demand_forecast_12,buy_price_forecast_20,sell_price_forecast_20,demand_forecast_20,price_volatility,price_momentum,price_rsi,price_spread,spread_ma,sun_forecast,sun_trend,demand_volatility,demand_trend,price_demand_corr,storage,profit,storage_state,action
33,2.135569886836441,67,0,0,38.25263157894736,76.94736842105263,1.7347294004215215,38.119548872180445,76.68045112781955,1.1821498902529337,37.986466165413525,76.41353383458647,1.1643176602797265,37.72030075187969,75.8796992481203,0.8049189771630173,37.32105263157894,75.07894736842105,0.7037286222203357,36.78872180451127,74.01127819548873,0.6051821323159525,35.72406015037593,71.87593984962406,0.9483332151522055,11.590717701769174,0.09375,52.601156069364166,34,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,7.6800000000000015,-387.2738062656026,charged,buy_9.600J@33.00
25,1.333888914006602,51,1,0,38.25263157894736,76.94736842105263,1.1821498902529337,38.119548872180445,76.68045112781955,1.1643176602797265,37.986466165413525,76.41353383458647,0.9545912368363695,37.72030075187969,75.8796992481203,0.705090902849669,37.32105263157894,75.07894736842105,0.6939517200682184,36.78872180451127,74.01127819548873,0.7442946305342153,35.72406015037593,71.87593984962406,0.9586094883463435,11.590717701769174,0.09375,52.601156069364166,26,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,15.356160000000003,-660.6210291157677,charged,grid_2.136J_std
13,0.07699086991575815,26,2,0,38.25263157894736,76.94736842105263,1.1643176602797265,38.119548872180445,76.68045112781955,0.9545912368363695,37.986466165413525,76.41353383458647,0.8049189771630173,37.72030075187969,75.8796992481203,0.6169545399934604,37.32105263157894,75.07894736842105,0.6308652000620167,36.78872180451127,74.01127819548873,0.7457003721674371,35.72406015037593,71.87593984962406,1.0951380526209102,11.590717701769174,0.09375,52.601156069364166,13,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,23.028481920000004,-786.4219104246724,charged,buy_9.600J@25.00
23,1.1108209703601053,47,3,0,38.25263157894736,76.94736842105263,0.9545912368363695,38.119548872180445,76.68045112781955,0.8049189771630173,37.986466165413525,76.41353383458647,0.705090902849669,37.72030075187969,75.8796992481203,0.7037286222203357,37.32105263157894,75.07894736842105,0.6556139766756153,36.78872180451127,74.01127819548873,0.8219789483904533,35.72406015037593,71.87593984962406,1.2193312521087205,11.590717701769174,0.09375,52.601156069364166,24,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,23.016967679040004,-811.9707927429548,no_change,grid_1.334J_std
13,0.11568554306294054,27,4,0,38.25263157894736,76.94736842105263,0.8049189771630173,38.119548872180445,76.68045112781955,0.705090902849669,37.986466165413525,76.41353383458647,0.6169545399934604,37.72030075187969,75.8796992481203,0.6939517200682184,37.32105263157894,75.07894736842105,0.6051821323159525,36.78872180451127,74.01127819548873,0.8446742875077667,35.72406015037593,71.87593984962406,1.3167554920378066,11.590717701769174,0.09375,52.601156069364166,14,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,26.845459195200487,-875.8747048027731,charged,buy_9.600J@13.00
13,0.05655767879625684,26,5,0,38.25263157894736,76.94736842105263,0.705090902849669,38.119548872180445,76.68045112781955,0.6169545399934604,37.986466165413525,76.41353383458647,0.7037286222203357,37.72030075187969,75.8796992481203,0.6308652000620167,37.32105263157894,75.07894736842105,0.7442946305342153,36.78872180451127,74.01127819548873,0.8551967571573984,35.72406015037593,71.87593984962406,1.4592472329085147,11.590717701769174,-0.6060606060606061,52.601156069364166,13,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,30.672036465602886,-939.0099546271243,charged,grid_0.077J_std
13,0.1061224569695795,27,6,0,38.25263157894736,76.94736842105263,0.6169545399934604,38.119548872180445,76.68045112781955,0.7037286222203357,37.986466165413525,76.41353383458647,0.6939517200682184,37.72030075187969,75.8796992481203,0.6556139766756153,37.32105263157894,75.07894736842105,0.7457003721674371,36.78872180451127,74.01127819548873,0.9506158313842012,35.72406015037593,71.87593984962406,1.5575683359457593,11.590717701769174,-0.48,52.601156069364166,14,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,34.49670044737009,-1002.7895465677288,charged,grid_1.111J_std
11,0.0,22,7,0,38.25263157894736,76.94736842105263,0.7037286222203357,38.119548872180445,76.68045112781955,0.6939517200682184,37.986466165413525,76.41353383458647,0.6308652000620167,37.72030075187969,75.8796992481203,0.6051821323159525,37.32105263157894,75.07894736842105,0.8219789483904533,36.78872180451127,74.01127819548873,1.0091615671121,35.72406015037593,71.87593984962406,1.6843177045922446,11.590717701769174,-0.15384615384615385,52.601156069364166,11,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,38.31945209714641,-1055.5895465677288,charged,buy_4.800J@13.00
26,1.3979212800353382,52,8,0,38.25263157894736,76.94736842105263,0.6939517200682184,38.119548872180445,76.68045112781955,0.6308652000620167,37.986466165413525,76.41353383458647,0.6556139766756153,37.72030075187969,75.8796992481203,0.7442946305342153,37.32105263157894,75.07894736842105,0.8446742875077667,36.78872180451127,74.01127819548873,0.9483332151522055,35.72406015037593,71.87593984962406,1.7597040453863806,11.590717701769174,0.13043478260869557,52.601156069364166,26,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,38.30029237109784,-1091.9354998486476,no_change,grid_0.116J_std
18,0.6059596006991623,37,9,0,38.25263157894736,76.94736842105263,0.6308652000620167,38.119548872180445,76.68045112781955,0.6556139766756153,37.986466165413525,76.41353383458647,0.6051821323159525,37.72030075187969,75.8796992481203,0.7457003721674371,37.32105263157894,75.07894736842105,0.8551967571573984,36.78872180451127,74.01127819548873,0.9586094883463435,35.72406015037593,71.87593984962406,1.792184684534703,11.590717701769174,0.3846153846153846,52.601156069364166,19,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,38.281142224912294,-1102.8427726612326,no_change,buy_4.800J@13.00
6,0.0,12,10,0,38.25263157894736,76.94736842105263,0.6556139766756153,38.119548872180445,76.68045112781955,0.6051821323159525,37.986466165413525,76.41353383458647,0.7442946305342153,37.72030075187969,75.8796992481203,0.8219789483904533,37.32105263157894,75.07894736842105,0.9506158313842012,36.78872180451127,74.01127819548873,1.0951380526209102,35.72406015037593,71.87593984962406,1.9072501169709308,11.590717701769174,-0.5384615384615384,52.601156069364166,6,16.6,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.89624085997592,-1145.099566707553,charged,grid_0.057J_std
23,0.927850519425199,47,11,0,38.25263157894736,76.94736842105263,0.6051821323159525,38.119548872180445,76.68045112781955,0.7442946305342153,37.986466165413525,76.41353383458647,0.7457003721674371,37.72030075187969,75.8796992481203,0.8446742875077667,37.32105263157894,75.07894736842105,1.0091615671121,36.78872180451127,74.01127819548873,1.2193312521087205,35.72406015037593,71.87593984962406,2.0121489808450983,11.590717701769174,0.7692307692307692,52.601156069364166,24,16.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.874292739545936,-1166.4401286543327,no_change,buy_4.800J@13.00
12,0.0,25,12,0,38.25263157894736,76.94736842105263,0.7442946305342153,38.119548872180445,76.68045112781955,0.7457003721674371,37.986466165413525,76.41353383458647,0.8219789483904533,37.72030075187969,75.8796992481203,0.8551967571573984,37.32105263157894,75.07894736842105,0.9483332151522055,36.78872180451127,74.01127819548873,1.3167554920378066,35.72406015037593,71.87593984962406,2.154635872047046,11.590717701769174,0.09090909090909083,52.601156069364166,13,16.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.85235559317616,-1166.4401286543327,no_change,grid_0.106J_std
44,2.5527571073716313,89,13,0,38.25263157894736,76.94736842105263,0.7457003721674371,38.119548872180445,76.68045112781955,0.8219789483904533,37.986466165413525,76.41353383458647,0.8446742875077667,37.72030075187969,75.8796992481203,0.9506158313842012,37.32105263157894,75.07894736842105,0.9586094883463435,36.78872180451127,74.01127819548873,1.4592472329085147,35.72406015037593,71.87593984962406,2.1319388823376384,11.590717701769174,0.6923076923076923,54.01459854014599,45,18.5,10.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.4313005907657,-1250.3434690661768,discharged,buy_4.800J@11.00
29,0.7653807550325413,58,14,0,38.25263157894736,76.94736842105263,0.8219789483904533,38.119548872180445,76.68045112781955,0.8446742875077667,37.986466165413525,76.41353383458647,0.8551967571573984,37.72030075187969,75.8796992481203,1.0091615671121,37.32105263157894,75.07894736842105,1.0951380526209102,36.78872180451127,74.01127819548873,1.5575683359457593,35.72406015037593,71.87593984962406,2.1464204386615915,11.590717701769174,0.6111111111111112,48.684210526315795,29,20.0,20.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.409584940470324,-1272.5395109621204,no_change,grid_1.398J_std
43,1.966157591735697,86,15,0,38.25263157894736,76.94736842105263,0.8446742875077667,38.119548872180445,76.68045112781955,0.8551967571573984,37.986466165413525,76.41353383458647,0.9506158313842012,37.72030075187969,75.8796992481203,0.9483332151522055,37.32105263157894,75.07894736842105,1.2193312521087205,36.78872180451127,74.01127819548873,1.6843177045922446,35.72406015037593,71.87593984962406,2.086732828543326,11.590717701769174,6.166666666666667,55.69620253164557,43,23.0,30.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,42.43205046436219,-1291.3232051724676,discharged,grid_0.606J_std
33,1.207799713384782,66,16,10,38.25263157894736,76.94736842105263,0.8551967571573984,38.119548872180445,76.68045112781955,0.9506158313842012,37.986466165413525,76.41353383458647,1.0091615671121,37.72030075187969,75.8796992481203,0.9586094883463435,37.32105263157894,75.07894736842105,1.3167554920378066,36.78872180451127,74.01127819548873,1.7597040453863806,35.72406015037593,71.87593984962406,2.1565490512167727,11.590717701769174,0.4347826086956521,56.41025641025641,33,24.9,40.0,1.9999999999999993,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,42.666834439130014,-1331.1805957141655,charged,buy_7.043J@6.00
28,1.0340787412011367,56,17,20,38.25263157894736,76.94736842105263,0.9506158313842012,38.119548872180445,76.68045112781955,1.0091615671121,37.986466165413525,76.41353383458647,0.9483332151522055,37.72030075187969,75.8796992481203,1.0951380526209102,37.32105263157894,75.07894736842105,1.4592472329085147,36.78872180451127,74.01127819548873,1.792184684534703,35.72406015037593,71.87593984962406,2.297356485730584,11.590717701769174,1.3333333333333335,51.65562913907284,28,26.6,49.0,4.999999999999998,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.15750102191045,-1360.1348004677973,charged,grid_0.928J_std
42,2.6681591674666514,84,18,30,38.25263157894736,76.94736842105263,1.0091615671121,38.119548872180445,76.68045112781955,0.9483332151522055,37.986466165413525,76.41353383458647,0.9586094883463435,37.72030075187969,75.8796992481203,1.2193312521087205,37.32105263157894,75.07894736842105,1.5575683359457593,36.78872180451127,74.01127819548873,1.9072501169709308,35.72406015037593,71.87593984962406,2.288900820443815,11.590717701769174,-0.045454545454545414,59.35483870967742,42,28.2,58.0,7.999999999999997,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,39.903922271399495,-1203.3974855013967,discharged,sell_0.399J@89.00
33,2.121530545942176,67,19,40,38.25263157894736,76.94736842105263,0.9483332151522055,38.119548872180445,76.68045112781955,0.9586094883463435,37.986466165413525,76.41353383458647,1.0951380526209102,37.72030075187969,75.8796992481203,1.3167554920378066,37.32105263157894,75.07894736842105,1.6843177045922446,36.78872180451127,74.01127819548873,2.0121489808450983,35.72406015037593,71.87593984962406,2.2201260596241847,11.546131728623958,0.13793103448275867,56.09756097560975,34,29.7,66.0,9.999999999999998,0.9043161319888747,0.060058465753566104,0.9432309401946505,40.9079703102638,-1273.4079935174884,charged,grid_2.553J_std
19,0.9190028476385503,39,20,49,38.25263157894736,76.94736842105263,0.9586094883463435,38.119548872180445,76.68045112781955,1.0951380526209102,37.986466165413525,76.41353383458647,1.2193312521087205,37.72030075187969,75.8796992481203,1.4592472329085147,37.32105263157894,75.07894736842105,1.7597040453863806,36.78872180451127,74.01127819548873,2.154635872047046,35.72406015037593,71.87593984962406,2.2321105050911347,11.398407090928378,-0.5581395348837209,51.68539325842697,20,31.1,74.0,9.799999999999999,0.8646050753117178,0.0765558785687644,0.9433828851629621,42.14191632510867,-1290.8690476226209,charged,grid_0.765J_std
21,1.5394143778893632,42,21,58,38.25263157894736,76.94736842105263,1.0951380526209102,38.119548872180445,76.68045112781955,1.2193312521087205,37.986466165413525,76.41353383458647,1.3167554920378066,37.72030075187969,75.8796992481203,1.5575683359457593,37.32105263157894,75.07894736842105,1.792184684534703,36.78872180451127,74.01127819548873,2.1319388823376384,35.72406015037593,71.87593984962406,2.2621015427094537,11.403023606413392,-0.36363636363636365,52.80898876404495,21,30.8,80.0,9.499999999999998,0.8706291886074249,0.09108761674015413,0.9259575001395066,43.51513563485878,-1323.1967495582976,charged,sell_0.956J@86.00
30,2.807562155407095,60,22,66,38.25263157894736,76.94736842105263,1.2193312521087205,38.119548872180445,76.68045112781955,1.3167554920378066,37.986466165413525,76.41353383458647,1.4592472329085147,37.72030075187969,75.8796992481203,1.6843177045922446,37.32105263157894,75.07894736842105,1.9072501169709308,36.78872180451127,74.01127819548873,2.1464204386615915,35.72406015037593,71.87593984962406,2.1795725277852496,11.239029738980328,0.0714285714285714,51.16279069767442,30,32.5,86.0,8.999999999999998,0.9366930097692053,0.10358093229437365,0.8801877521195444,40.64478580817806,-1215.4236142205104,discharged,grid_1.966J_std
33,3.5946849601163096,67,23,74,38.25263157894736,76.94736842105263,1.3167554920378066,38.119548872180445,76.68045112781955,1.4592472329085147,37.986466165413525,76.41353383458647,1.5575683359457593,37.72030075187969,75.8796992481203,1.7597040453863806,37.32105263157894,75.07894736842105,2.0121489808450983,36.78872180451127,74.01127819548873,2.086732828543326,35.72406015037593,71.87593984962406,2.104058593525676,11.413288653790234,-0.2142857142857143,54.49101796407185,34,31.4,91.0,8.499999999999998,1.0908589534312176,0.13953637027552832,0.8341695443375172,38.2835524959354,-1119.6482179043487,discharged,solar_0.256J
15,2.0641703416446617,31,24,80,38.25263157894736,76.94736842105263,1.4592472329085147,38.119548872180445,76.68045112781955,1.5575683359457593,37.986466165413525,76.41353383458647,1.6843177045922446,37.72030075187969,75.8796992481203,1.792184684534703,37.32105263157894,75.07894736842105,2.154635872047046,36.78872180451127,74.01127819548873,2.1565490512167727,35.72406015037593,71.87593984962406,2.000850076443443,11.315569153301919,-0.5454545454545454,52.601156069364166,16,30.1,95.0,7.8000000000000025,1.0739837658024625,0.13417951524637156,0.7640237679035126,40.31241071968744,-1150.6107730290187,charged,grid_1.208J_std
21,2.9063924962104157,42,25,86,38.25263157894736,76.94736842105263,1.5575683359457593,38.119548872180445,76.68045112781955,1.6843177045922446,37.986466165413525,76.41353383458647,1.7597040453863806,37.72030075187969,75.8796992481203,1.9072501169709308,37.32105263157894,75.07894736842105,2.1319388823376384,36.78872180451127,74.01127819548873,2.297356485730584,35.72406015037593,71.87593984962406,1.883561211711939,11.021510069429068,0.10526315789473695,49.382716049382715,21,27.9,97.0,6.999999999999996,1.086959806721828,0.13699075509690317,0.6806717371820522,42.010131073985875,-1211.6450154494373,charged,solar_0.512J
10,2.0725445177144737,20,26,91,38.25263157894736,76.94736842105263,1.6843177045922446,38.119548872180445,76.68045112781955,1.7597040453863806,37.986466165413525,76.41353383458647,1.792184684534703,37.72030075187969,75.8796992481203,2.0121489808450983,37.32105263157894,75.07894736842105,2.1464204386615915,36.78872180451127,74.01127819548873,2.288900820443815,35.72406015037593,71.87593984962406,1.8504226064603497,11.212187917384227,-0.5238095238095238,49.382716049382715,10,25.6,99.0,6.200000000000002,1.046296650129893,0.12438701683870437,0.5823018311560104,45.51657317103679,-1258.7435596204834,charged,grid_1.034J_std
12,2.5349873729297068,25,27,95,38.25263157894736,76.94736842105263,1.7597040453863806,38.119548872180445,76.68045112781955,1.792184684534703,37.986466165413525,76.41353383458647,1.9072501169709308,37.72030075187969,75.8796992481203,2.154635872047046,37.32105263157894,75.07894736842105,2.086732828543326,36.78872180451127,74.01127819548873,2.2201260596241847,35.72406015037593,71.87593984962406,1.8025468747980387,11.149227020645634,-0.6,37.87878787878788,13,24.1,100.0,5.299999999999998,1.0002109705104538,0.11375696168669984,0.4508816507705354,46.29122657956701,-1289.1634080956399,charged,solar_0.768J
15,2.9056480959180577,31,28,97,38.25263157894736,76.94736842105263,1.792184684534703,38.119548872180445,76.68045112781955,1.9072501169709308,37.986466165413525,76.41353383458647,2.0121489808450983,37.72030075187969,75.8796992481203,2.1319388823376384,37.32105263157894,75.07894736842105,2.1565490512167727,36.78872180451127,74.01127819548873,2.2321105050911347,35.72406015037593,71.87593984962406,1.7876874897746582,11.36140743690536,-0.5454545454545454,44.166666666666664,16,21.5,99.0,4.2999999999999945,1.0337458898351513,0.12668248989684683,0.3790517897290579,46.92847902059755,-1332.7481295344107,charged,sell_4.000J@84.00
